Nom du fichier,Aire du Rectangle,Aire de l'enveloppe,Ratio
test-150.points,143121.66026133666,113371.0,1.2624186102383912,1.1862429410979571
test-151.points,132846.93280058115,108547.5,1.2238599028128805,1.1812262430948297
test-152.points,140436.337054218,110695.5,1.2686725029853787,1.2712493337088295
test-153.points,134585.22491717187,106424.0,1.2646134792638115,1.2495516211020796
test-154.points,140310.11760770672,112684.0,1.2451645096704653,1.185848442864149
test-155.points,134222.0027202665,110933.0,1.209937554382073,1.1376802301988882
test-156.points,137107.95103475216,106948.0,1.282005750783111,1.2235089236259218
test-157.points,142072.65267276482,112610.0,1.2616344256528267,1.187016826203133
test-158.points,134176.02927835056,107262.5,1.2509127540226133,1.1775708895491612
test-159.points,129868.15555327215,104362.5,1.244394831029078,1.1881500751983454
test-160.points,143694.43115071667,112880.0,1.2729839754670151,1.116096106448991
test-161.points,142166.10017186348,113294.5,1.2548367323379641,1.0965687251165572
test-162.points,138389.5529411765,110482.5,1.2525925186448215,1.162235162196632
test-163.points,139994.16234594132,110639.5,1.2653181038050725,1.108053736365109
test-164.points,136134.4841427155,106708.5,1.275760451535871,1.167215076293692
test-165.points,133515.76404942197,109811.5,1.2158632206045994,1.137197485608307
test-166.points,135668.261397344,109739.0,1.2362811889787952,1.1445836121204267
test-167.points,136882.4180614309,108524.0,1.261310107086275,1.1614614534279986
test-168.points,135787.48355663815,109193.0,1.243554839198833,1.3038868557513992
test-169.points,135828.48778280543,105986.5,1.2815640462021618,1.2034795428118423
test-170.points,140407.10490964339,111516.0,1.2590758717102781,1.149608772148711
test-171.points,137298.41509433964,111762.5,1.2284837498654704,1.255085772160732
test-172.points,136138.3278688524,109669.0,1.2413565170545222,1.1361364036892607
test-173.points,140736.941831623,110992.5,1.2679860515946844,1.113656299696806
test-174.points,140307.30826199867,113079.5,1.2407846538231835,1.1828283830746988
test-175.points,136080.30829499397,108861.5,1.2500315381929696,1.1355793508640897
test-176.points,136082.57526063014,110558.5,1.2308648838454768,1.1973353197614707
test-177.points,136708.29875518667,109760.0,1.2455202146062925,1.1871983235889694
test-178.points,139293.61494881214,110708.5,1.2582016281388706,1.1528175041864654
test-179.points,136349.34357459383,110812.0,1.2304564810182457,1.2123617981243193
test-180.points,134284.37398020233,107503.0,1.2491221080360766,1.298642352024359
test-181.points,135846.92166124767,111518.0,1.2181613879485613,1.1457229551206969
test-182.points,131547.01860113934,106701.0,1.2328564737082064,1.2062657912931394
test-183.points,125380.26623103596,104311.5,1.2019793237661807,1.2651582778498593
test-184.points,136457.23036864467,108060.0,1.2627913230487198,1.251070281509235
test-185.points,140489.49051481197,111926.5,1.2551941722006135,1.1720029244432637
test-186.points,140177.47113884555,110693.0,1.2663625625725705,1.1684133840936912
test-187.points,132520.33057192928,104199.5,1.2717943039259236,1.4909383322805145
test-188.points,135401.2131147541,109157.0,1.2404262952880172,1.1504339150324874
test-189.points,128800.0,103578.5,1.2435013057729163,1.3180075528485837
test-190.points,136452.36811387888,111367.0,1.2252495632806746,1.190503368063828
test-191.points,140956.68859236984,109141.5,1.2915040437630951,1.3835515575919124
test-192.points,131448.05309734476,105484.5,1.2461361915479976,1.2573968493690064
test-193.points,134584.81735583153,110622.5,1.216613413689182,1.278676773312257
test-194.points,136621.5325533625,109830.5,1.2439307164527384,1.1406279685449923
test-195.points,135228.57919177937,109437.5,1.235669484333792,1.2550192756535896
test-196.points,141321.7101639344,110899.0,1.2743280837873596,1.1762415468522778
test-197.points,130942.02245706729,108409.5,1.207846382992886,1.246690420822538
test-198.points,136887.8146964856,106464.0,1.2857662185948828,1.167322773061101
test-199.points,141581.63633930963,110470.5,1.2816239298211707,1.1236041399423025
test-200.points,139399.75384615385,107163.0,1.3008198151055295,1.3333868098231036
test-201.points,142070.69829927105,111243.5,1.2771146026443887,1.1832109075476231
test-202.points,139657.14729557946,109114.5,1.2799137355308365,1.383608432235817
test-203.points,138864.7140006301,108510.0,1.2797411667185523,1.3040078249326486
test-204.points,138943.7738551541,109819.0,1.2652070575688552,1.2958952662854828
test-205.points,133161.19178082186,106703.5,1.2479552384019443,1.3091484111336467
test-206.points,140773.48764118503,111127.0,1.2667802391964602,1.1373152368935588
test-207.points,134634.0240063651,108407.5,1.241925365001177,1.2060098073322296
test-208.points,132329.39431087027,106246.5,1.2454941509684578,1.1697936739455477
test-209.points,135205.69905328623,108028.5,1.251574344300682,1.2264805164697863
test-210.points,139355.51432370365,110360.0,1.2627357223967348,1.2323638306673552
test-211.points,132700.55654952073,107812.0,1.2308514502051786,1.2147888638618662
test-212.points,119685.33126699977,104176.0,1.1488762408520174,1.3811542643059125
test-213.points,138442.7252603099,111122.0,1.2458624328243724,1.3952915105310981
test-214.points,141521.21181208052,111819.5,1.2656219336706078,1.1331514282741078
test-215.points,144652.84634174703,114322.0,1.2653106693527671,1.240682669729853
test-216.points,136888.36074270558,110152.0,1.2427224266713777,1.1243269663394229
test-217.points,140301.6576787807,113814.5,1.232722172295979,1.1852307839576994
test-218.points,137234.70133729567,109664.5,1.2514049791618589,1.359227236620434
test-219.points,135261.77581625755,109354.0,1.2369165811607947,1.2609942451971023
test-220.points,134202.33217061986,106982.5,1.2544325676687296,1.1518724963717546
test-221.points,127950.52655889136,104345.5,1.2262198806742155,1.1301828562564051
test-222.points,137141.79486043417,110089.0,1.245735676229543,1.1667597039838877
test-223.points,129961.47048903878,108128.5,1.2019168904501476,1.2502538540480015
test-224.points,126994.21232482223,100588.0,1.2625185143836466,1.3560576270108085
test-225.points,126587.01590961496,100613.5,1.2581514002555816,1.3165317273445072
test-226.points,135472.13655136802,110306.0,1.2281483922122824,1.1950974211544856
test-227.points,130978.04112718963,107398.5,1.219551866433792,1.1737541903410953
test-228.points,134895.90398740806,105613.0,1.2772660940169114,1.3655917078680737
test-229.points,139238.18816619524,108737.5,1.2804983392683777,1.237872599243238
test-230.points,141580.32190158754,113006.5,1.2528511360106502,1.1563792814760105
test-231.points,130579.9388343912,104617.5,1.2481653531616719,1.32308817733009
test-232.points,138375.39882750044,110346.0,1.254013727978363,1.133199869516508
test-233.points,129861.51651486878,105733.0,1.2282023258100006,1.1650038504421283
test-234.points,135764.76040828938,108340.5,1.253130273612263,1.1515665736934009
test-235.points,135618.8930603467,107229.0,1.2647594686171342,1.135441982845568
test-236.points,134745.12377439078,103949.5,1.296255621954803,1.169090465444368
test-237.points,141023.56232921898,111404.5,1.2658695324625036,1.1111528963052821
test-238.points,136150.4844635452,110650.5,1.230455212254307,1.1209518548580877
test-239.points,135349.30209843564,107223.0,1.2623159405951674,1.2995155604926056
test-240.points,135061.77754514522,107613.5,1.2550635147555391,1.3169552194767997
test-241.points,140593.33526591593,111073.0,1.2657741779362754,1.3569864505744653
test-242.points,129270.8638083228,108485.0,1.191601270298408,1.1751028710444575
test-243.points,139104.48275862067,111679.0,1.245574215014646,1.1176903673106278
test-244.points,136564.2334720416,108299.5,1.2609867402161747,1.1541189007014447
test-245.points,133908.30769230766,107840.0,1.2417313398767402,1.221036374502504
test-246.points,137756.11845034876,110039.0,1.2518844995896796,1.3395828220202304
test-247.points,138008.40055248613,110080.0,1.2537100340887184,1.1057576556669821
test-248.points,134516.40103048517,111088.5,1.2108940262087,1.1183338432354482
test-249.points,140134.15557020414,109808.0,1.2761743731804982,1.1563479434963093
test-250.points,137426.51710545507,110251.0,1.2464877153536482,1.104589932739846
test-251.points,130451.76691285077,107581.5,1.2125854994850487,1.178791840989979
test-252.points,142835.0,112864.0,1.2655496881202155,1.2126166917220789
test-253.points,139761.1399215898,112140.0,1.2463094339360603,1.1493606106008287
test-254.points,141830.65613382906,110366.5,1.2850879219131626,1.212721188039813
test-255.points,134935.51500742935,108069.0,1.2486051967486453,1.2576469414931388
test-256.points,125450.14936573159,107359.0,1.1685107849899086,1.326793077886534
test-257.points,130764.47999999997,103746.5,1.2604230504161582,1.1145254876596062
